2019,-221,-189,-818
2041,-200,-153,-832
2062,-200,-133,-825
2084,-239,-153,-864
2105,-205,-61,-793
2127,-193,-93,-816
2148,-199,-133,-817
2170,-199,-132,-818
2191,-180,-145,-762
2213,-185,-93,-784
2236,-242,-142,-786
2256,-180,-111,-820
2279,-185,-72,-861
2299,-207,-120,-829
2322,-242,-125,-816
2342,-221,-116,-795
2365,-154,-83,-863
2385,-223,-40,-898
2408,-144,-57,-772
2428,-129,-25,-856
2451,-221,-132,-804
2473,-292,-162,-825
2494,-237,-125,-773
2516,-250,-68,-769
2537,-239,-77,-841
2560,-229,-89,-825
2580,-232,-66,-773
2603,-266,-109,-744
2623,-125,48,-845
2646,-228,-114,-962
2666,-280,-189,-832
2689,-244,-109,-746
2711,-328,-119,-732
2732,-285,-93,-832
2754,-269,-80,-754
2775,-277,-56,-745
2797,-276,-97,-857
2818,-291,-121,-810
2840,-272,-135,-821
2861,-289,-185,-825
2883,-275,-116,-761
2904,-274,-87,-800
2926,-288,-84,-808
2947,-313,-110,-805
2969,-303,-89,-792
2992,-241,-55,-832
3012,-234,-66,-837
3035,-312,-102,-786
3055,-343,-57,-808
3078,-365,-153,-769
3098,-433,-192,-810
3121,-420,-346,-778
3141,-354,-236,-826
3164,-273,-159,-793
3184,-301,-141,-782
3207,-353,-153,-783
3229,-357,-185,-840
3250,-381,-210,-776
3272,-456,-241,-721
3293,-393,-281,-665
3315,-393,-269,-840
3336,-417,-255,-864
3358,-253,-220,-584
3381,-344,-148,-801
3401,-354,-113,-713
3424,-200,-77,-943
3444,-452,-112,-729
3467,-337,-121,-769
3487,-340,-157,-793
3510,-401,-180,-698
3532,-461,-216,-765
3553,-465,-205,-740
3575,-504,-89,-666
3596,-357,-194,-769
3618,-454,-173,-788
3639,-482,-240,-744
3661,-555,-276,-648
3682,-447,-153,-794
3704,-399,-109,-793
3727,-423,-120,-807
3747,-441,-144,-729
3770,-361,-180,-765
3790,-405,-187,-722
3813,-416,-127,-794
3833,-433,-52,-891
3856,-388,-95,-836
3876,-420,-109,-717
3899,-520,-200,-756
3921,-610,-132,-823
3942,-433,-77,-839
3964,-536,-82,-754
3985,-487,-90,-740
4007,-490,-47,-754
4028,-515,-98,-769
4050,-548,-113,-756
4071,-461,-76,-756
4093,-440,6,-762
4114,-479,-2,-754
4136,-569,9,-797
4157,-584,-4,-698
4179,-561,-75,-815
4200,-692,71,-686
4222,-680,25,-719
4243,-681,56,-724
4265,-673,9,-722
4286,-712,89,-776
4308,-612,67,-735
4329,-831,-130,-642
4352,-644,-28,-712
4372,-648,-109,-680
4395,-625,-80,-765
4415,-628,-100,-764
4438,-641,-100,-718
4460,-592,-95,-685
4481,-605,-112,-813
4503,-607,-125,-670
4524,-605,-139,-694
4546,-665,-200,-591
4567,-793,-160,-701
4589,-788,-77,-601
4610,-788,-36,-642
4632,-674,40,-644
4653,-839,35,-697
4675,-861,-25,-605
4696,-897,64,-582
4718,-857,67,-548
4739,-1007,-173,-440
4761,-728,15,-655
4784,-772,-41,-628
4804,-748,-122,-532
4827,-817,30,-708
4847,-799,-64,-629
4870,-830,-72,-548
4890,-879,17,-569
4913,-713,76,-607
4933,-720,27,-610
4956,-938,-121,-766
4976,-1056,63,-657
4999,-792,142,-377
5019,-934,-18,-455
5042,-997,-28,-425
5062,-996,-16,-353
5085,-1012,-23,-249
5107,-1073,-52,-274
5128,-1243,14,-313
5150,-1323,48,-409
5171,-1154,48,-36
5193,-1396,33,-304
5214,-701,-241,-152
5236,-2048,199,-132
5257,-1480,-144,239
